loan_status,next_payment_date,member_id,purpose,sub_grade,term,verification_status,annual_income,dti,installment,int_rate,loan_amount,total_acc,total_payment,Good vs Bad Loan
Fully Paid,11/12/2021,968631,Credit Card,B3, 36 months,Source Verified,90000,0.1476,261.88,0.1099,8000,35,8956,Good Loan
Fully Paid,5/12/2021,424272,Credit Card,B5, 36 months,Source Verified,60000,0.1616,399.78,0.1221,12000,15,14392,Good Loan
Fully Paid,2/14/2021,993754,Credit Card,B1, 36 months,Source Verified,60000,0.0528,153.25,0.0999,4750,22,5472,Good Loan
Fully Paid,6/13/2021,924860,Credit Card,B3, 36 months,Source Verified,64800,0.1602,519.06,0.1037,16000,15,18402,Good Loan
Fully Paid,12/11/2021,634323,Credit Card,B2, 36 months,Source Verified,53000,0.2409,688.18,0.1025,21250,22,24014,Good Loan
Fully Paid,10/12/2021,1274476,Credit Card,B3, 36 months,Source Verified,105000,0.0947,238.15,0.1171,7200,37,7772,Good Loan
Fully Paid,3/14/2021,869405,Credit Card,C2, 36 months,Source Verified,336000,0.0164,72.51,0.1306,2150,8,2610,Good Loan
Fully Paid,9/12/2021,481942,Credit Card,C4, 36 months,Source Verified,44000,0.1388,441,0.1347,13000,10,15881,Good Loan
Fully Paid,3/12/2021,402199,Credit Card,C4, 36 months,Source Verified,26000,0.2368,182.34,0.1347,5375,11,6589,Good Loan
Fully Paid,2/14/2021,819086,Credit Card,C2, 36 months,Source Verified,408000,0.0282,201.04,0.1261,6000,26,7238,Good Loan
Fully Paid,7/11/2021,647906,Credit Card,C3, 36 months,Source Verified,59000,0.1324,67.85,0.1348,2000,13,2266,Good Loan
Fully Paid,4/12/2021,413619,Credit Card,C3, 36 months,Source Verified,93000,0.1924,472.79,0.1316,14000,32,17020,Good Loan
Fully Paid,1/14/2022,1256067,Credit Card,C1, 36 months,Source Verified,250000,0.1078,848.27,0.1349,25000,26,30537,Good Loan
Fully Paid,2/14/2021,819419,Credit Card,C1, 36 months,Source Verified,49500,0.1084,233.27,0.1223,7000,32,8398,Good Loan
Fully Paid,1/14/2022,1204785,Credit Card,C2, 36 months,Source Verified,124000,0.0438,343.09,0.1427,10000,14,12371,Good Loan
Fully Paid,2/11/2021,538610,Credit Card,C2, 36 months,Source Verified,59363,0.1447,202.81,0.1322,6000,18,6782,Good Loan
Fully Paid,4/12/2021,697025,Credit Card,C3, 36 months,Source Verified,30000,0.2388,341.68,0.1398,10000,21,11795,Good Loan
Fully Paid,9/11/2021,647710,Credit Card,C5, 36 months,Source Verified,36000,0.174,599.98,0.1422,17500,20,20227,Good Loan
Fully Paid,3/14/2021,976400,Credit Card,C2, 36 months,Source Verified,29472,0.1291,373.24,0.1349,11000,16,13395,Good Loan
Fully Paid,2/13/2021,863835,Credit Card,C2, 36 months,Source Verified,42240,0.1795,295.92,0.1306,8775,22,10334,Good Loan
Fully Paid,2/14/2021,800032,Credit Card,C3, 36 months,Source Verified,28000,0.0536,202.11,0.1298,6000,8,7277,Good Loan
Fully Paid,6/13/2021,620516,Credit Card,C4, 36 months,Source Verified,133000,0.1923,306.94,0.1385,9000,29,11054,Good Loan
Fully Paid,9/11/2021,791817,Credit Card,C5, 36 months,Source Verified,45000,0.1264,510.63,0.1372,15000,12,16175,Good Loan
Fully Paid,8/14/2021,997849,Credit Card,C1, 36 months,Source Verified,41000,0.2107,388.27,0.1299,11525,16,13978,Good Loan
Fully Paid,3/14/2021,849970,Credit Card,C1, 36 months,Source Verified,25000,0.1392,392.42,0.1268,11700,16,14129,Good Loan
Fully Paid,10/11/2021,426711,Credit Card,C2, 36 months,Source Verified,132000,0.02,336.18,0.1284,10000,39,12005,Good Loan
Fully Paid,12/10/2021,378264,Credit Card,C4, 36 months,Source Verified,120000,0.245,805.67,0.1347,23750,36,28225,Good Loan
Fully Paid,7/14/2021,962106,Credit Card,C2, 36 months,Source Verified,36000,0.1947,339.31,0.1349,10000,16,12215,Good Loan
Fully Paid,4/14/2021,945486,Credit Card,C2, 36 months,Source Verified,85000,0.1897,101.8,0.1349,3000,12,3661,Good Loan
Fully Paid,9/13/2021,705691,Credit Card,C1, 36 months,Source Verified,53000,0.1712,405.66,0.1323,12000,10,14605,Good Loan
Fully Paid,12/13/2021,766937,Credit Card,C1, 36 months,Source Verified,70000,0.0653,219.74,0.1323,6500,28,7911,Good Loan
Fully Paid,10/13/2021,734673,Credit Card,C2, 36 months,Source Verified,81000,0.1323,237.92,0.1361,7000,9,8579,Good Loan
Fully Paid,8/12/2021,1240242,Credit Card,C2, 36 months,Source Verified,75000,0.128,590.12,0.1427,17200,14,18536,Good Loan
Fully Paid,8/11/2021,757477,Credit Card,C2, 36 months,Source Verified,70000,0.0819,509.83,0.1361,15000,21,16251,Good Loan
Fully Paid,12/12/2021,655227,Credit Card,C3, 36 months,Source Verified,25000,0.2294,101.78,0.1348,3000,11,3640,Good Loan
Fully Paid,1/14/2022,1272248,Credit Card,C1, 36 months,Source Verified,60000,0.174,169.66,0.1349,5000,15,6107,Good Loan
Fully Paid,3/15/2021,1285904,Credit Card,C1, 36 months,Source Verified,60000,0.078,508.96,0.1349,15000,30,18414,Good Loan
Fully Paid,6/11/2021,374379,Credit Card,C2, 36 months,Source Verified,60000,0.1652,323.43,0.1209,10000,23,11555,Good Loan
Fully Paid,7/12/2021,1210221,Credit Card,C2, 36 months,Source Verified,40000,0.1269,329.37,0.1427,9600,18,10437,Good Loan
Fully Paid,7/14/2021,933123,Credit Card,C2, 36 months,Source Verified,50000,0.1272,203.59,0.1349,6000,19,7329,Good Loan
Fully Paid,1/12/2022,876667,Credit Card,C1, 36 months,Source Verified,25000,0.0427,188.67,0.1268,5625,5,6514,Good Loan
Fully Paid,1/14/2022,1284284,Credit Card,C2, 36 months,Source Verified,50000,0.186,274.48,0.1427,8000,19,9881,Good Loan
Fully Paid,5/12/2021,450746,Credit Card,C5, 36 months,Source Verified,126500,0.1143,654.25,0.1379,19200,32,23531,Good Loan
Fully Paid,1/12/2022,676102,Credit Card,C2, 36 months,Source Verified,61000,0.0954,214.13,0.1361,6300,36,7660,Good Loan
Fully Paid,10/13/2021,735223,Credit Card,C5, 36 months,Source Verified,42000,0.1197,124.31,0.1472,3600,15,4475,Good Loan
Fully Paid,4/12/2021,398817,Credit Card,C1, 36 months,Source Verified,47004,0.0932,267.73,0.1253,8000,20,9638,Good Loan
Fully Paid,6/13/2021,826430,Credit Card,C2, 36 months,Source Verified,57000,0.1284,117.28,0.1261,3500,26,4179,Good Loan
Fully Paid,9/12/2021,732098,Credit Card,C5, 36 months,Source Verified,24000,0.127,74.24,0.1472,2150,6,2594,Good Loan
Fully Paid,10/13/2021,842422,Credit Card,C5, 36 months,Source Verified,38272,0.2126,522.47,0.1417,15250,28,18720,Good Loan
Fully Paid,3/11/2021,724596,Credit Card,C1, 36 months,Source Verified,70000,0.0837,507.08,0.1323,15000,49,15579,Good Loan
Fully Paid,12/12/2021,799380,Credit Card,C1, 36 months,Source Verified,132000,0.0851,375.65,0.1268,11200,39,12959,Good Loan
Fully Paid,3/13/2021,786330,Credit Card,C4, 36 months,Source Verified,60000,0.1454,507.95,0.1335,15000,8,17993,Good Loan
Fully Paid,1/14/2022,1287628,Credit Card,C4, 36 months,Source Verified,58977,0.1288,501.09,0.1527,14400,22,18039,Good Loan
Fully Paid,5/14/2021,897438,Credit Card,C1, 36 months,Source Verified,75000,0.2258,201.25,0.1268,6000,20,7245,Good Loan
Fully Paid,8/14/2021,1049284,Credit Card,C2, 36 months,Source Verified,21600,0.1894,101.8,0.1349,3000,5,3647,Good Loan
Fully Paid,2/14/2021,818511,Credit Card,C2, 36 months,Source Verified,68515,0.0207,187.64,0.1261,5600,9,6755,Good Loan
Fully Paid,11/14/2021,1170843,Credit Card,C5, 36 months,Source Verified,47000,0.1238,421.65,0.1596,12000,14,15179,Good Loan
Fully Paid,4/12/2021,968488,Credit Card,C2, 36 months,Source Verified,72500,0.1164,475.03,0.1349,14000,17,15284,Good Loan
Fully Paid,10/13/2021,1228227,Credit Card,C2, 36 months,Source Verified,70000,0.2366,192.13,0.1427,5600,7,6692,Good Loan
Fully Paid,4/14/2021,896540,Credit Card,C4, 36 months,Source Verified,95000,0.0671,272.65,0.138,8000,22,9739,Good Loan
Fully Paid,8/14/2021,1009990,Credit Card,C4, 36 months,Source Verified,125000,0.1394,622.13,0.1479,18000,34,22397,Good Loan
Fully Paid,9/13/2021,713323,Credit Card,C5, 36 months,Source Verified,46000,0.1954,207.18,0.1472,6000,12,7459,Good Loan
Fully Paid,3/12/2021,1212935,Credit Card,C2, 36 months,Source Verified,30000,0.0388,171.55,0.1427,5000,9,5167,Good Loan
Fully Paid,1/14/2022,1279331,Credit Card,C5, 36 months,Source Verified,280000,0.0627,351.38,0.1596,10000,15,12649,Good Loan
Fully Paid,12/14/2021,1284553,Credit Card,C1, 36 months,Source Verified,140000,0.0789,678.61,0.1349,20000,35,24429,Good Loan
Fully Paid,5/12/2021,929135,Credit Card,C3, 36 months,Source Verified,92000,0.064,406.82,0.1343,12000,19,13304,Good Loan
Fully Paid,5/12/2021,417323,Credit Card,C5, 36 months,Source Verified,75000,0.1278,272.61,0.1379,8000,37,9814,Good Loan
Fully Paid,4/10/2021,429958,Credit Card,C3, 36 months,Source Verified,80000,0.1716,216.13,0.1316,6400,30,7028,Good Loan
Fully Paid,8/13/2021,1282328,Credit Card,C3, 36 months,Source Verified,54000,0.1598,413.94,0.1465,12000,20,14185,Good Loan
Fully Paid,1/12/2022,823136,Credit Card,C5, 36 months,Source Verified,65000,0.166,510.63,0.1372,15000,13,17670,Good Loan
Fully Paid,7/12/2021,936023,Credit Card,C4, 36 months,Source Verified,49000,0.1969,204.49,0.138,6000,9,6770,Good Loan
Fully Paid,10/14/2021,1065048,Credit Card,C2, 36 months,Source Verified,62000,0.1157,352.88,0.1349,10400,33,12704,Good Loan
Fully Paid,12/14/2021,1274861,Credit Card,C1, 36 months,Source Verified,52000,0.2183,778.71,0.1349,22950,37,28025,Good Loan
Fully Paid,4/11/2021,454739,Credit Card,C2, 36 months,Source Verified,35000,0.2427,201.71,0.1284,6000,9,7018,Good Loan
Fully Paid,6/12/2021,706743,Credit Card,C2, 36 months,Source Verified,35600,0.1652,135.96,0.1361,4000,21,4698,Good Loan
Fully Paid,7/12/2021,409599,Credit Card,C2, 36 months,Source Verified,60000,0.1922,302.57,0.1284,9000,29,10892,Good Loan
Fully Paid,5/14/2021,1288906,Credit Card,C3, 36 months,Source Verified,44600,0.1528,165.58,0.1465,4800,25,5891,Good Loan
Fully Paid,4/12/2021,848412,Credit Card,C5, 36 months,Source Verified,14400,0.1,143.9,0.1417,4200,10,4716,Good Loan
Fully Paid,2/14/2021,811671,Credit Card,C5, 36 months,Source Verified,65000,0.0628,163.41,0.1372,4800,17,5882,Good Loan
Fully Paid,6/14/2021,948425,Credit Card,C2, 36 months,Source Verified,48000,0.1363,602.27,0.1349,17750,27,21682,Good Loan
Fully Paid,5/14/2021,913981,Credit Card,C1, 36 months,Source Verified,25000,0.144,183.64,0.1268,5475,23,6611,Good Loan
Fully Paid,8/13/2021,782353,Credit Card,C2, 36 months,Source Verified,36000,0.117,217.8,0.1261,6500,21,7819,Good Loan
Fully Paid,2/14/2021,819721,Credit Card,C1, 36 months,Source Verified,40000,0.1893,486.54,0.1223,14600,13,17517,Good Loan
Fully Paid,11/14/2021,1226954,Credit Card,C1, 36 months,Source Verified,43000,0.2489,339.31,0.1349,10000,27,12214,Good Loan
Fully Paid,2/15/2021,1266349,Credit Card,C4, 36 months,Source Verified,45000,0.0651,260.99,0.1527,7500,24,9395,Good Loan
Fully Paid,4/13/2021,1021520,Credit Card,C1, 36 months,Source Verified,58000,0.0792,404.27,0.1299,12000,41,13929,Good Loan
Fully Paid,2/14/2021,1035621,Credit Card,C3, 36 months,Source Verified,18000,0.106,102.52,0.1399,3000,9,3658,Good Loan
Fully Paid,4/14/2021,1281049,Credit Card,C3, 36 months,Source Verified,40000,0.2496,319.08,0.1465,9250,21,11319,Good Loan
Fully Paid,6/12/2021,1030512,Credit Card,C4, 36 months,Source Verified,23040,0.0557,110.61,0.1479,3200,12,3522,Good Loan
Fully Paid,8/14/2021,1195152,Credit Card,C1, 36 months,Source Verified,14400,0.1883,63.62,0.1349,1875,23,2302,Good Loan
Fully Paid,2/13/2021,662386,Credit Card,C4, 36 months,Source Verified,50000,0.2227,381.97,0.1385,11200,21,13709,Good Loan
Fully Paid,12/11/2021,835556,Credit Card,C2, 36 months,Source Verified,65400,0.1771,404.68,0.1306,12000,36,13065,Good Loan
Fully Paid,6/11/2021,781355,Credit Card,C1, 36 months,Source Verified,51000,0.0975,319.92,0.1223,9600,18,10153,Good Loan
Fully Paid,1/14/2022,1263343,Credit Card,C2, 36 months,Source Verified,50000,0.1934,274.48,0.1427,8000,18,9881,Good Loan
Fully Paid,11/13/2021,763851,Credit Card,D3, 36 months,Source Verified,50000,0.2016,484.15,0.1483,14000,36,17425,Good Loan
Fully Paid,5/12/2021,427042,Credit Card,D5, 36 months,Source Verified,51295,0.1172,684.73,0.1537,19650,12,24662,Good Loan
Fully Paid,4/14/2021,857297,Credit Card,D5, 36 months,Source Verified,60000,0.1868,351.67,0.1602,10000,54,12661,Good Loan
Fully Paid,7/13/2021,670680,Credit Card,D1, 36 months,Source Verified,55000,0.1881,413.58,0.1459,12000,28,14890,Good Loan
Fully Paid,5/12/2021,1232727,Credit Card,D2, 36 months,Source Verified,16800,0.1971,97.74,0.1677,2750,6,2934,Good Loan
Fully Paid,7/14/2021,971725,Credit Card,D1, 36 months,Source Verified,66500,0.0568,391.67,0.1562,11200,12,14100,Good Loan
Fully Paid,11/13/2021,757817,Credit Card,D1, 36 months,Source Verified,70000,0.0814,311.29,0.1484,9000,10,11207,Good Loan
Fully Paid,9/13/2021,713825,Credit Card,D1, 36 months,Source Verified,30004,0.1452,131.44,0.1484,3800,17,4732,Good Loan
Fully Paid,9/13/2021,708611,Credit Card,D1, 36 months,Source Verified,51600,0.2495,423.7,0.1484,12250,16,15254,Good Loan
Fully Paid,9/13/2021,721609,Credit Card,D5, 36 months,Source Verified,60000,0.0802,635.68,0.1632,18000,22,22886,Good Loan
Fully Paid,1/14/2022,1261067,Credit Card,D1, 36 months,Source Verified,45500,0.1358,353.01,0.1629,10000,13,12708,Good Loan
Fully Paid,1/12/2022,728165,Credit Card,D1, 36 months,Source Verified,74000,0.1463,553.4,0.1484,16000,12,19628,Good Loan
Fully Paid,3/13/2021,825746,Credit Card,D2, 36 months,Source Verified,38000,0.2258,447.22,0.1446,13000,5,15764,Good Loan
Fully Paid,1/14/2022,1264096,Credit Card,D5, 36 months,Source Verified,40000,0.1911,137.86,0.1825,3800,10,4963,Good Loan
Fully Paid,1/14/2022,1263017,Credit Card,D1, 36 months,Source Verified,25000,0.1411,353.01,0.1629,10000,32,12708,Good Loan
Fully Paid,1/14/2022,1281001,Credit Card,D2, 36 months,Source Verified,37000,0.1962,341.17,0.1677,9600,8,12282,Good Loan
Fully Paid,3/11/2021,643894,Credit Card,D3, 36 months,Source Verified,120000,0.134,870.71,0.1533,25000,34,27867,Good Loan
Fully Paid,10/14/2021,1192320,Credit Card,D4, 36 months,Source Verified,54000,0.0978,477.14,0.1758,13275,17,17176,Good Loan
Fully Paid,9/12/2021,504086,Credit Card,D4, 36 months,Source Verified,72000,0.163,86.73,0.1505,2500,18,3122,Good Loan
Fully Paid,8/14/2021,1038442,Credit Card,D1, 36 months,Source Verified,55000,0.1953,260.53,0.1562,7450,20,9375,Good Loan
Fully Paid,8/14/2021,1031981,Credit Card,D3, 36 months,Source Verified,130000,0.0354,424.8,0.1649,12000,22,15287,Good Loan
Fully Paid,9/14/2021,1017546,Credit Card,D3, 36 months,Source Verified,36108,0.0223,70.8,0.1649,2000,5,2549,Good Loan
Fully Paid,5/12/2021,881158,Credit Card,D2, 36 months,Source Verified,80000,0.0561,484.7,0.1491,14000,18,15946,Good Loan
Fully Paid,1/13/2022,786875,Credit Card,D5, 36 months,Source Verified,60000,0.1722,174.73,0.1557,5000,16,6291,Good Loan
Fully Paid,6/14/2021,940139,Credit Card,D2, 36 months,Source Verified,45000,0.186,140.61,0.1599,4000,13,5062,Good Loan
Fully Paid,4/14/2021,863566,Credit Card,D3, 36 months,Source Verified,50000,0.2354,191.42,0.1528,5500,5,6891,Good Loan
Fully Paid,2/13/2021,1095159,Credit Card,D3, 36 months,Source Verified,21600,0.1589,125.26,0.1727,3500,6,4168,Good Loan
Fully Paid,11/13/2021,1028210,Credit Card,D4, 36 months,Source Verified,34000,0.1267,195.79,0.1689,5500,14,6906,Good Loan
Fully Paid,11/12/2021,921041,Credit Card,D2, 36 months,Source Verified,33864,0.1945,207.73,0.1491,6000,25,7028,Good Loan
Fully Paid,9/13/2021,881460,Credit Card,D1, 36 months,Source Verified,90000,0.0849,723.26,0.1454,21000,14,25802,Good Loan
Fully Paid,4/13/2021,1213198,Credit Card,D3, 36 months,Source Verified,96000,0.121,572.6,0.1727,16000,11,19052,Good Loan
Fully Paid,4/12/2021,901134,Credit Card,D3, 36 months,Source Verified,46750,0.1776,104.41,0.1528,3000,22,3365,Good Loan
Fully Paid,5/14/2021,907701,Credit Card,D1, 36 months,Source Verified,63000,0.1928,185.98,0.1454,5400,30,6695,Good Loan
Fully Paid,1/14/2022,1277811,Credit Card,D3, 36 months,Source Verified,90000,0.0584,536.81,0.1727,15000,15,19325,Good Loan
Fully Paid,7/14/2021,1044026,Credit Card,D1, 36 months,Source Verified,130000,0.0749,683.66,0.1562,19550,22,24585,Good Loan
Fully Paid,1/12/2022,1072262,Credit Card,D3, 36 months,Source Verified,75531,0.1492,531,0.1649,15000,15,17350,Good Loan
Fully Paid,5/13/2021,1265090,Credit Card,D2, 36 months,Source Verified,90000,0.1541,604.16,0.1677,17000,39,20146,Good Loan
Fully Paid,10/12/2021,737847,Credit Card,D3, 36 months,Source Verified,50000,0.1478,349.51,0.1558,10000,18,12248,Good Loan
Fully Paid,11/13/2021,748640,Credit Card,D1, 36 months,Source Verified,87000,0.1588,864.68,0.1484,25000,11,31130,Good Loan
Fully Paid,1/14/2022,1266809,Credit Card,D1, 36 months,Source Verified,63000,0.1457,282.41,0.1629,8000,20,10166,Good Loan
Fully Paid,12/12/2021,822348,Credit Card,D2, 36 months,Source Verified,36000,0.1723,395.62,0.1446,11500,18,13591,Good Loan
Fully Paid,4/14/2021,1031985,Credit Card,D1, 36 months,Source Verified,84000,0.087,227.31,0.1562,6500,8,8140,Good Loan
Fully Paid,1/14/2022,1267199,Credit Card,D1, 36 months,Source Verified,35000,0.0576,353.01,0.1629,10000,18,12708,Good Loan
Fully Paid,4/14/2021,863652,Credit Card,D1, 36 months,Source Verified,56000,0.1654,202.34,0.1454,5875,18,7284,Good Loan
Fully Paid,4/12/2021,784231,Credit Card,D2, 36 months,Source Verified,28800,0.1096,447.22,0.1446,13000,34,15063,Good Loan
Fully Paid,2/14/2021,823262,Credit Card,D2, 36 months,Source Verified,130000,0.05,495.39,0.1446,14400,9,17836,Good Loan
Fully Paid,4/11/2021,407953,Credit Card,E2, 36 months,Source Verified,36000,0.1637,269.84,0.16,7675,10,9407,Good Loan
Fully Paid,1/13/2022,866227,Credit Card,E2, 36 months,Source Verified,38000,0.1418,92.4,0.1677,2600,12,3349,Good Loan
Fully Paid,9/14/2021,1029144,Credit Card,E2, 36 months,Source Verified,55200,0.1933,545.23,0.1839,15000,19,19628,Good Loan
Fully Paid,11/14/2021,1099844,Credit Card,E4, 36 months,Source Verified,14400,0.0917,163.32,0.1991,4400,12,5879,Good Loan
Fully Paid,1/12/2022,1260345,Credit Card,E4, 36 months,Source Verified,45000,0.0469,593.89,0.1991,16000,10,18805,Good Loan
Fully Paid,1/12/2022,835568,Credit Card,E1, 36 months,Source Verified,110000,0.1262,353.55,0.164,10000,11,12317,Good Loan
Fully Paid,12/12/2021,979456,Credit Card,E3, 36 months,Source Verified,90000,0.1393,657.9,0.1879,18000,17,21197,Good Loan
Fully Paid,6/11/2021,519115,Credit Card,E3, 36 months,Source Verified,60000,0.174,713.49,0.1704,20000,21,24265,Good Loan
Fully Paid,5/12/2021,711199,Credit Card,E1, 36 months,Source Verified,65000,0.1215,530.7,0.1645,15000,12,18192,Good Loan
Fully Paid,8/14/2021,999254,Credit Card,F5, 36 months,Source Verified,75000,0.2182,577.51,0.2174,15175,36,20790,Good Loan
Fully Paid,6/13/2021,654071,Credit Card,B1, 36 months,Source Verified,30000,0.084,161.06,0.0988,5000,9,5799,Good Loan
Fully Paid,4/13/2021,772467,Credit Card,B4, 36 months,Source Verified,105000,0.1478,193.58,0.0999,6000,24,6912,Good Loan
Fully Paid,4/13/2021,1039913,Credit Card,A4, 36 months,Source Verified,44300,0.0547,134.52,0.0749,4325,34,4719,Good Loan
Fully Paid,9/14/2021,1003898,Credit Card,A4, 36 months,Source Verified,53000,0.0512,217.72,0.0749,7000,13,7838,Good Loan
Fully Paid,6/13/2021,730421,Credit Card,A5, 36 months,Source Verified,120000,0.1638,437.94,0.0788,14000,24,15712,Good Loan
Fully Paid,8/13/2021,687471,Credit Card,B5, 36 months,Source Verified,60000,0.1704,132.59,0.1186,4000,23,4774,Good Loan
Fully Paid,4/14/2021,862289,Credit Card,B3, 36 months,Source Verified,110000,0.0573,324.42,0.1037,10000,21,11679,Good Loan
Fully Paid,10/13/2021,1103203,Credit Card,B2, 36 months,Source Verified,72000,0.1022,156.36,0.1065,4800,35,5508,Good Loan
Fully Paid,5/13/2021,642645,Credit Card,B5, 36 months,Source Verified,65000,0.2119,329.12,0.1136,10000,32,11849,Good Loan
Fully Paid,6/13/2021,759322,Credit Card,B5, 36 months,Source Verified,200000,0.1298,198.89,0.1186,6000,29,7132,Good Loan
Fully Paid,1/14/2022,1243717,Credit Card,C3, 36 months,Source Verified,75000,0.1307,517.42,0.1465,15000,17,18627,Good Loan
Fully Paid,8/14/2021,1055055,Credit Card,D2, 36 months,Source Verified,20000,0.1092,198.61,0.1599,5650,5,7147,Good Loan
Fully Paid,10/14/2021,1073920,Credit Card,A4, 36 months,Source Verified,24000,0.1205,248.82,0.0749,8000,13,8957,Good Loan
Fully Paid,3/14/2021,835700,Credit Card,A5, 36 months,Source Verified,37000,0.2325,187.08,0.0766,6000,18,6736,Good Loan
Fully Paid,1/14/2022,1249959,Credit Card,A4, 36 months,Source Verified,54000,0.0647,244.07,0.079,7800,19,8786,Good Loan
Fully Paid,3/14/2021,823788,Credit Card,B4, 36 months,Source Verified,100000,0.066,469.67,0.1074,14400,19,16913,Good Loan
Fully Paid,12/14/2021,1203346,Credit Card,B3, 36 months,Source Verified,17000,0.2047,95.1,0.1171,2875,8,3422,Good Loan
Fully Paid,7/14/2021,1241471,Credit Card,B3, 36 months,Source Verified,23850,0.1545,200.94,0.1171,6075,12,7202,Good Loan
Fully Paid,12/13/2021,765338,Credit Card,B3, 36 months,Source Verified,48000,0.1448,85.27,0.1112,2600,16,3070,Good Loan
Fully Paid,7/13/2021,713757,Credit Card,C5, 36 months,Source Verified,58000,0.0753,320.26,0.1472,9275,10,11518,Good Loan
Fully Paid,12/13/2021,771350,Credit Card,C5, 36 months,Source Verified,110000,0.0675,680.84,0.1372,20000,17,24512,Good Loan
Fully Paid,9/13/2021,1259780,Credit Card,C1, 36 months,Source Verified,70000,0.2062,305.38,0.1349,9000,38,10557,Good Loan
Fully Paid,4/12/2021,405953,Credit Card,C1, 36 months,Source Verified,50000,0.1862,176.54,0.1253,5275,14,6355,Good Loan
Fully Paid,8/10/2021,405270,Credit Card,C1, 36 months,Source Verified,40000,0.0447,284.47,0.1253,8500,15,9656,Good Loan
Fully Paid,10/14/2021,1061669,Credit Card,D2, 36 months,Source Verified,65000,0.1313,246.07,0.1599,7000,14,8876,Good Loan
Fully Paid,4/12/2021,404697,Credit Card,E1, 36 months,Source Verified,39481,0.1808,471.65,0.1568,13475,6,16979,Good Loan
Charged Off,2/13/2021,1068900,Credit Card,A1, 36 months,Verified,70000,0.0873,437.32,0.0542,14500,25,7471,Bad Loan
Charged Off,4/13/2021,1272863,Credit Card,A4, 36 months,Verified,80000,0.15,563.23,0.079,18000,15,9080,Bad Loan
Charged Off,10/11/2021,886470,Credit Card,A4, 36 months,Verified,55635,0.135,372.12,0.0729,12000,21,2225,Bad Loan
Charged Off,12/13/2021,959815,Credit Card,A2, 36 months,Verified,40000,0.0969,228.14,0.0599,7500,28,6836,Bad Loan
Charged Off,2/14/2021,1196836,Credit Card,A3, 36 months,Verified,32000,0.1755,96.45,0.0751,3100,18,2722,Bad Loan
Charged Off,5/13/2021,758930,Credit Card,A4, 36 months,Verified,92040,0.1007,306.68,0.0654,10000,32,8722,Bad Loan
Charged Off,11/13/2021,1060344,Credit Card,B4, 36 months,Verified,120000,0.0969,494.57,0.1149,15000,27,13898,Bad Loan
Charged Off,3/12/2021,781047,Credit Card,B2, 36 months,Verified,250000,0.2015,510.66,0.0925,25000,41,8569,Bad Loan
Charged Off,10/11/2021,631236,Credit Card,B3, 36 months,Verified,320000,0.0432,781.44,0.1062,24000,27,27171,Bad Loan
Charged Off,7/11/2021,602955,Credit Card,B5, 36 months,Verified,52000,0.0704,267.74,0.1253,8000,25,4567,Bad Loan
Charged Off,11/11/2021,813606,Credit Card,B2, 36 months,Verified,68000,0.1708,414.92,0.0925,13000,30,4187,Bad Loan
Charged Off,3/14/2021,989377,Credit Card,C2, 36 months,Verified,120000,0.1634,1187.57,0.1349,35000,29,36583,Bad Loan
Charged Off,12/13/2021,676452,Credit Card,C4, 36 months,Verified,53000,0.1714,549.57,0.1435,16000,26,18439,Bad Loan
Charged Off,9/10/2021,422694,Credit Card,C3, 36 months,Verified,125000,0.0824,844.26,0.1316,25000,46,13381,Bad Loan
Charged Off,9/11/2021,730618,Credit Card,C4, 36 months,Verified,82500,0.183,549.57,0.1435,16000,42,6573,Bad Loan
Charged Off,11/10/2021,300205,Credit Card,C5, 36 months,Verified,96000,0.0536,266.83,0.1229,20000,29,9668,Bad Loan
Charged Off,1/10/2022,444489,Credit Card,D3, 36 months,Verified,165000,0.2067,797.8,0.1474,23100,33,15158,Bad Loan
Charged Off,3/14/2021,1286886,Credit Card,D3, 36 months,Verified,64000,0.0797,590.49,0.1727,16500,13,17109,Bad Loan
Charged Off,8/11/2021,683973,Credit Card,D3, 36 months,Verified,55000,0.2243,690.27,0.1558,19750,28,7972,Bad Loan
Charged Off,3/12/2021,916440,Credit Card,D2, 36 months,Verified,62664,0.2417,564.33,0.1491,16300,34,5642,Bad Loan
Charged Off,11/9/2021,361901,Credit Card,D3, 36 months,Verified,145900,0.0958,254.48,0.1349,7500,32,3054,Bad Loan
Charged Off,5/10/2021,365194,Credit Card,D5, 36 months,Verified,160000,0.0904,861.99,0.1462,25000,24,15553,Bad Loan
Charged Off,2/11/2021,464294,Credit Card,D1, 36 months,Verified,45000,0.0723,410.75,0.1411,12000,11,14061,Bad Loan
Charged Off,9/10/2021,560743,Credit Card,F4, 36 months,Verified,148000,0.1854,918.02,0.1913,25000,38,18261,Bad Loan
Charged Off,9/9/2021,376112,Credit Card,F4, 36 months,Verified,113000,0.0394,897.06,0.1746,25000,33,7218,Bad Loan
Charged Off,10/11/2021,363016,Credit Card,C1, 36 months,Verified,47000,0.2249,165.55,0.1178,5000,24,5958,Bad Loan
Charged Off,11/9/2021,406435,Credit Card,E3, 36 months,Verified,60000,0.2146,565.02,0.1632,16000,24,3952,Bad Loan
Charged Off,12/12/2021,796941,Credit Card,C5, 36 months,Verified,46800,0.2172,306.38,0.1372,9000,28,7249,Bad Loan
Charged Off,8/12/2021,658543,Credit Card,D1, 36 months,Verified,70000,0.1593,413.58,0.1459,12000,15,10995,Bad Loan
